Tweet,Sentiment
this is peak.,Positive
NASA after spending billions on this project for these photos meanwhile a guy on Earth with his Samsung Ultra Galaxy zoom,Neutral
PEAK ,Positive
Great AI photos guys. Keep it up. The boomers still believe you,Negative
This is incredible. What a beautiful universe we have,Positive
You guys are worse than the ads I see for “Local MILFS in my area” least that’s more believable,Negative
Things we love to see,Positive
Hello Moon. It looks beautiful. I just got myself a new wallpaper thanks to NASA.,Positive
Hello moon!,Positive
This hits different ,Positive
"Humanity really went from looking up at the Moon… to orbiting it and capturing moments like this. Artemis isn’t just a mission , it’s the start of something bigger.",Positive
Stunning.,Positive
"Incredible how all these pictures confirms the Bible’s version of the creation. ""He stretcheth out the north over the empty place, and hangeth the earth upon nothing."" Job 26:7",Neutral
Thank you Artemis II crew!! What a history!!,Positive
Stop fooling the people @NASA . It’s not the 1970’s anymore.,Negative
"OK so help me understand how this is real? The light is on the top of the moon in this picture, but the shadow on earth shows that the moon should be lit up completely in this view of the moon?!",Negative
The most beautiful,Positive
These images are stunningly beautiful. Makes me feel small in a good way.,Positive
So where’s Neil Armstrong footprint? Where’s the USA Flag Apollo 14 planted? It’s space it should be there till now. What happened to them???,Negative
Wow!,Positive
Genuinely curious… where are all the stars?,Neutral
fake news everyone knows the moon is made of cheese,Neutral
"These photos are incredible, I hope we continue missions like this and beyond in the future",Positive
It’s glorious ,Positive
Imagine accepting this is real lmao,Negative
We need to talk more about this and less about this shit show on our planet,Positive
Seeing this on my feed heals me,Positive
Beautiful,Positive
For those that don't know Artemis is the moon goddess featured in Acts 19 (rendered Diana in the KJV),Neutral
There’s a part of me that’s refusing to believe this is real ,Neutral
How the hell does this mf produce light at night?,Neutral
The view is too beautiful ,Positive
Incredible images! Thank you for taking everyone along for the ride! ,Positive
"Fuck you NASA, you pathetic lying snakes. It's astonishing that people have lost the ability to discern computer generated images from reality. Fuck you.",Negative
Is this still the same moon?,Neutral
This goes so hard,Positive
Why does the moon have so much potholes? Any explanation for this  @NASA? Enlighten us please,Neutral
All The Best @NASA You Are The Best.,Positive
Peak,Positive
"Suddenly, all our earthly problems look incredibly small.",Neutral
"So if the moon is grey like this , how does it shine in the dark ? Something is just not normal with these lies.",Negative
Beautiful photos. But the comments on this post shows how X is a cesspool of ignorance and bots. Great job @elonmusk,Positive
I trust family guy more than I trust NASA,Negative
Beautiful! I’m looking forward to the mission that LANDS on the moon and ends the conjecture once and for all as well as opening the door to a moon base and further exploration of the stars!,Positive
"WHAT AN AMAZING CENTURY TO BE ALIVE, MY FRIENDS!! ",Positive
$1 trillion to nasa please,Positive
i think they’re either very horrible at taking photos or just have bad equipments. I would do a better job that this even with my iphone 10. how can you be in space and send such average photo? C’mon!,Negative
We’ve got some solid photographers masked as astronauts on board,Positive
"In the second image, Earth appears more like a moon",Neutral
These views are better than what I thought we might get from this mission. Stunning !,Positive
We walked on the moon in 1969. In 2026 we just took some pictures? Am I the only skeptic?,Negative
"Why, when I feed the 4k versions of these images into AI image detectors, does it say they are all AI generated?",Negative
Did they get photos of the alien base?,Neutral
The graphic designers at NASA really outdid themselves this past few days... Pheeeew! What a week!,Negative
Nice try. The nonsense won't work anymore,Negative
"We need this in ultra high resolution, amazing wallpaper material.",Positive
truly stunning!,Positive
A robot camera on a small purpose-built probe could have done this for tens of billions less.,Negative
"We have never witnessed images like this before. The first step towards getting boots dusty, planting the flag and setting up the Moon base..",Positive
Wishing you all a safe journey back home.,Positive
This is amazing. I hope I am alive when rides around the moon are privatized and leave 3 times a day!!,Positive
Fake AF with the billions you steal from the American people you have to be a retard to believe they went to or around the moon ,Negative
NASA’s Artemis II mission photographs are incredible. The first crewed lunar flyby in over 50 years does not disappoint.,Positive
"The only thing I notice about these pictures is the insane amount of mentally retarded people it triggers. Peak stupidity is going where man has never gone before. Amazing pictures NASA, ignore the haters.",Positive
Absolutely beautiful,Positive
imagine being retarded enuff to believe these pics or this trip even happened lmaoo . its cheaper to pretend it did for the matrix,Negative
Stunning,Positive
"Right. And what happened to all the stars,,,, again ? On the alleged Moon landing it the brightness of the lunar surface excuse, that the exposure had to be adjusted to that. But here the shot is from open space. And the space is pitch black.",Negative
Unbelievable views from this mission. Absolutely iconic image of Earth setting over the lunar surface. We are lucky to live on the best planet!,Positive
it's a pride NASA,Positive
Where are the stars?,Neutral
This is absolutely insane. Really glad I am witnessing this great moments.,Positive
This is what we as a species are supposed to do,Positive
I’m so proud of our astronauts and our space program. The future is going to be amazing. ,Positive
I wonder what it sounds like around the moon,Neutral
Major milestone in human civilization and i hope we are the only species who are capable of exploring multiple planet and hopefully lives on more than one planet in near future! to @NASAand Artemis II astronauts.,Positive
"One moon and one planet in our solar system, in one galaxy, in a universe of trillions",Neutral
Looking at home from the moon makes me emotional. We're all there. All on our little blue water marble. For just a moment in time. I love you guys.,Positive
What a beautiful time to be a human and exist,Positive
I love these. But this screen shot from yesterday just went to Walgreens for a large print. It just hits me differently. In a good way,Positive
From looking up to looking back,Positive
$4 billion of tax dollars down the drain.,Negative
"It’s amazing how we can spend billions to get a high-res photo of a gray rock while half the people on the blue marble in the background can’t afford a decent data plan to view it. This isn't a giant leap for mankind,it’s just the world’s most expensive drone photography.",Negative
"OK, now tell us where you plan to land and build a base in the next year now that you proved you can fly people to the moon even without a working toilet",Negative
Fake pics! Please share the real images that supposedly Artemis Ii took if any?! Why won’t you share the actual photos please?!,Negative
I'm still in awe when looking at those photos. Sooo beautiful,Positive
This is amazing ,Positive
I wonder how much y'all paid the crew that produced that mythical moon landing tv show,Negative
"Fantastic views! It reminds me of when I was a kid, gazing spellbound at the moon through my simple reflecting telescope. This view will likely begin to change little by little in the near future, once the first stations and colonies have been established on the plains and in the craters.",Positive
"Wow, those photos are stunning! ",Positive
"Why is it so hard to get back to the moon, we did it fairly quickly after Kennedy said we are going to put a man on the moon. Technology is soo much better than it was 50 years ago. Look at SpaceX rocket technology, something is not making sense.",Negative
"This is all the pictures NASA can give of billions of dollars , four lousy pictures that I can do with a photo shop. Could not afford a video camera from TEMU!",Negative
"Multiple BILLIONS of dollars, and almost 70 yrs later of the supposed smartest ppl on earth (at NASA) ...and you're excited to get a flyby photo of the moon? we should literally be living & visiting it regularly at this point. WTAF. ",Negative
"i want to see actual images, not cgi art.",Negative
And our earth now looks like what the moon looks like from down here... Stunning photos as usual.,Positive
is this AI generated?,Negative
"These photos are absolutely breathtaking, makes you feel small in the best way",Positive
These photos are unreal.,Positive
"if you landed in the 70s, why can't you land now?",Negative
